10000 50000
5305 2471 405
791 1186 841
8779 1542 375
9548 950 932
8313 3517 39
1408 7104 429
1144 3943 93
9028 6955 61
9264 2028 971
3657 9551 971
1013 9455 600
6499 812 1000
3622 763 571
2181 4744 430
2363 8858 121
9353 5054 574
2961 1688 596
9358 3078 382
1596 8974 730
1028 9246 62
3374 8133 697
8711 7005 796
5146 7628 600
7424 5924 307
4070 2945 716
3999 1341 589
4919 8604 507
5627 7353 295
9977 1199 121
8387 6850 169
5604 2490 956
8011 6909 41
1271 9143 587
5140 5572 712
5737 9738 509
9501 7474 71
1533 4422 486
1064 994 749
5072 9469 698
7301 4662 734
6320 5685 24
7564 5823 173
1918 8088 61
3575 4709 133
4056 6519 401
8134 1320 171
7359 6580 563
4552 2243 839
7053 9014 286
6804 5878 700
6233 3780 155
1359 2887 155
3800 3822 13
7945 9652 187
4304 4619 5
2386 6864 548
6049 9991 580
5220 2056 708
8445 884 468
9163 6428 408
6536 6457 107
7889 6560 64
3122 1103 214
7219 2659 113
5571 9842 54
1677 3 581
2478 8791 104
5957 417 73
3407 6164 153
4132 5691 617
5966 7768 126
1889 7996 478
7870 7927 320
1407 2361 105
5613 4337 491
2645 8459 24
3362 8654 371
2401 8899 937
443 8652 306
1491 4278 531
6008 2736 365
3650 8725 555
8236 5401 652
3654 3197 826
3922 6564 758
3714 3275 531
8073 5825 749
474 457 810
4577 7737 266
3172 9914 980
5640 7327 828
5726 5974 83
3612 1673 233
7701 3222 346
3348 7907 640
9998 31 491
5636 1389 855
1964 6365 802
3265 7832 911
2924 7109 809
5447 1421 821
6485 7588 412
1391 2602 175
2081 451 155
9679 7624 826
2394 9762 486
5741 2554 562
8983 2146 22
233 1683 540
2281 7107 893
3191 3457 29
4126 3486 300
8211 3940 783
9608 5341 266
8918 6865 855
2147 997 932
5796 7506 679
9557 8466 431
8219 2142 545
2487 8577 523
306 7211 796
3000 9970 5
2454 2823 145
7757 1971 570
1011 5340 699
8492 8695 569
7905 1738 905
9179 930 255
3134 4537 44
1601 8318 464
9203 456 779
1038 7262 334
8282 9930 525
3267 4541 464
8325 8737 827
7832 8319 965
4057 8572 898
4253 9167 915
3319 7332 141
6826 1992 402
7243 5177 75
3942 7017 75
3484 4960 803
2004 2530 963
5999 2342 260
2248 7663 225
1542 6525 907
7983 2667 684
3665 2645 724
7070 8447 414
5556 6902 201
5842 5218 95
5995 319 347
9077 7514 452
296 6297 340
8477 4840 525
1053 1848 941
3744 1716 87
4351 4455 41
2974 4430 774
2122 6918 870
4237 6651 153
8791 8434 585
8103 5358 92
4572 942 819
3003 6968 917
1186 4406 961
275 1451 821
4268 1372 623
3643 1091 271
1993 7434 12
5556 9061 428
4388 2117 45
8632 3906 961
1793 2645 269
825 2967 207
5111 4997 544
3372 4750 457
8193 2914 278
5685 297 257
605 251 19
8284 9028 195
8425 7778 252
7324 1741 675
7080 8110 560
6440 8301 316
3525 3761 351
3254 2289 415
5694 891 858
2126 233 73
4187 7057 168
907 1384 682
6240 8289 687
4619 9810 249
4801 741 471
3036 2581 276
7304 59 270
5966 5389 996
8963 5300 251
564 5071 224
5842 2997 2
5494 6252 86
7776 4569 515
3292 4066 517
81 1488 271
1470 2357 410
9614 682 404
368 4909 312
3814 1384 600
8670 2543 674
9774 6381 783
5343 8096 154
4655 2371 45
8404 7032 752
8282 2282 932
8581 8263 583
263 9569 818
3767 1394 32
685 2180 653
5909 1718 386
7395 9150 52
308 8707 698
4006 8016 271
54 7486 817
1148 8240 920
8768 1506 676
8617 1082 764
7763 4131 829
1219 4350 241
3362 3780 758
7542 8092 866
6267 1257 491
4707 765 632
3248 1269 615
2415 5435 261
4987 9302 137
204 7903 63
7959 4403 996
1630 3566 692
8021 4765 726
8462 4678 476
7633 7640 786
1941 8996 205
5106 1406 959
7748 286 297
7519 1252 840
8300 7363 276
6338 3437 939
3452 1222 596
1479 2322 766
8586 4289 976
5890 2172 618
8335 4580 909
1846 5983 237
8157 7964 404
406 2606 4
8055 7385 416
4947 2305 427
5635 6162 324
1980 5428 2
5317 5542 860
6525 1966 963
3207 192 924
4748 4148 382
1064 6437 400
9653 1251 370
7013 4508 875
790 4597 105
845 4679 651
2439 4084 995
4353 7147 524
5170 3110 792
6116 7008 906
475 6554 936
9079 8998 209
1320 810 956
6731 7386 630
2270 4689 498
802 9012 131
2797 7736 425
5630 4616 305
4190 4262 416
3910 4928 495
9131 6461 123
2741 2648 77
3405 8201 928
8144 9017 226
7421 5453 778
7372 7002 143
8974 3152 250
1486 2862 351
9107 1492 327
3917 6034 265
9332 3311 909
329 6763 393
6781 8587 216
6174 4427 347
1016 8161 285
9409 5900 129
8247 8670 645
3538 1517 278
4070 6300 410
7304 7075 977
5112 357 131
528 6966 727
7754 9620 502
2 1198 401
8648 7670 996
7355 4070 802
1786 3666 159
2491 8558 996
1784 7492 88
9035 647 2
2058 3810 584
615 4977 986
2096 4125 541
7166 1837 102
1152 4920 538
9550 3140 398
4274 3663 810
9847 18 11
8806 4940 472
4564 5183 661
3970 7787 539
3846 8962 253
479 6747 722
5036 906 23
3180 8164 907
6881 1328 264
3732 6952 948
6065 3715 505
558 5538 736
6890 5936 699
6493 3245 7
4785 8271 70
3362 8121 994
3283 5107 785
3177 3781 477
3628 4342 779
4832 1785 975
8122 9995 192
3658 7947 428
924 9745 150
6446 890 219
387 9766 146
6805 849 727
985 3016 403
7366 5147 751
1854 1300 954
2713 5394 196
3039 8598 765
7661 522 320
6203 6125 340
7248 2773 112
47 1281 287
1323 5758 431
2026 9193 988
3398 6228 366
5057 7085 90
807 7757 201
6106 8872 942
7312 3162 332
5967 7774 32
6730 4063 832
6631 666 385
571 7603 65
1015 4210 200
1029 9922 348
5946 4461 344
714 4295 765
5185 4515 305
61 9757 939
1070 397 846
3831 1757 487
7630 6332 809
4113 7044 835
8085 2174 951
8135 2997 9
4969 2479 622
3868 5370 882
5235 7549 371
9760 1294 525
3232 6417 771
2620 4051 418
1060 554 494
9053 8922 334
2632 6988 905
1723 1182 272
1377 3413 99
6898 8167 727
7323 2837 240
2177 6829 472
3849 8823 868
1985 4815 301
4577 9287 275
6110 4162 756
4265 3263 450
4053 3043 252
3858 2512 289
9474 3084 335
1061 6489 258
4029 8312 539
3790 1647 670
7600 606 105
73 7778 905
3786 7344 937
6125 661 898
4811 3815 123
825 3105 615
9555 3181 953
1230 6098 525
2912 7358 618
4258 103 109
9767 5729 223
613 6040 349
2316 723 209
4176 626 614
3333 186 839
5361 6700 695
6091 3033 636
5115 1276 209
515 8120 562
7921 1036 418
1661 6476 680
9013 2532 655
8749 1493 669
2681 6517 713
4442 6713 291
5039 6845 977
841 5117 764
9281 5852 425
6823 298 885
5960 3230 401
6635 3336 965
96 7113 924
2565 6942 117
1482 6655 592
5975 7551 792
2663 2129 16
846 9036 146
6499 1458 587
6075 8265 176
2390 5700 291
2651 8538 176
1099 1782 393
8036 3233 309
2075 712 999
7909 5153 55
9955 6355 89
2625 3638 636
6627 3213 850
7748 2997 579
3573 683 410
8485 2563 393
5885 2016 154
4047 3155 43
9213 624 684
5311 1928 400
9822 7466 564
5017 6882 316
9545 4083 436
6376 6020 458
8250 7181 184
382 57 634
8019 7623 241
7320 7508 857
2942 7753 410
1754 1099 132
5874 7054 375
1502 7241 517
8358 667 42
2134 1347 945
5140 8380 82
889 8256 917
6190 2231 27
1087 1795 199
2156 8058 295
2705 3622 68
5749 4132 163
5305 4505 927
7477 2352 261
8228 7866 214
9697 4306 631
8290 3889 327
6099 603 204
2983 6610 166
4557 5371 917
6174 2764 812
4330 1885 787
8695 795 652
5894 7422 569
8543 9503 706
1713 4129 549
6459 6086 272
6156 6044 592
2395 5902 339
1333 7246 236
2895 791 304
8455 4155 318
9598 5122 751
29 553 227
2447 4767 631
7081 6843 525
5965 782 136
8001 3723 628
746 365 56
42 9291 364
4976 1742 536
5851 8750 230
6770 9561 309
9651 2190 210
6000 7780 163
2207 231 960
3990 2446 462
1569 1043 654
2370 4419 412
4329 188 58
9213 5739 609
9477 7270 617
8480 8074 255
2704 6 46
1008 8708 26
6651 3041 244
2608 956 934
1718 202 628
9026 3231 146
6769 3268 531
9962 8305 664
6803 2861 521
5068 1044 308
794 7830 733
8821 104 385
7154 7622 83
7413 2873 232
1724 4283 238
635 2019 344
4313 860 273
9073 7144 703
8572 4346 303
3555 1399 902
8313 249 174
4265 3868 862
3322 2608 765
5355 3144 902
6368 5383 616
3918 6216 930
8787 7692 484
8693 104 879
434 7163 979
3831 9344 906
5042 3472 401
9590 1274 579
2810 2369 34
440 1833 110
2651 5650 146
470 505 43
2267 698 714
1111 764 68
9674 5954 205
8747 1080 901
6288 1754 253
3370 3328 115
554 564 973
1433 4708 489
1636 2173 101
3358 4824 327
5513 6942 268
342 5749 263
4630 793 733
6029 5256 788
9863 8253 488
4712 507 808
6765 511 447
8497 1610 356
7683 788 551
9274 3548 732
1489 9413 840
4704 2791 447
21 8577 207
4724 884 5
5698 8041 98
8052 3023 991
8103 9708 356
8440 4269 592
2603 4648 835
3517 3793 511
2716 1800 962
1325 8032 807
9195 1713 644
5351 5826 98
6574 6465 914
1411 6916 910
412 6094 212
4966 4312 439
8928 8211 176
6214 3826 967
7551 2078 545
9733 9918 662
555 5709 596
5352 8548 160
7377 9072 760
5297 2777 475
7189 4214 594
3785 2065 343
7569 3898 520
3138 4382 309
2532 2555 999
4056 5350 618
8555 5711 165
3870 5375 979
3101 4238 999
1667 2696 986
1665 3201 394
2473 2430 814
4949 4872 446
4486 3214 112
1750 4600 212
6362 7600 35
206 6537 875
7152 3644 513
4853 7590 23
2323 4214 619
6630 90 759
3969 7045 718
9404 9624 768
6900 3744 684
9564 3745 696
2973 2035 465
7086 5128 267
1603 6874 249
6555 2563 257
6939 7909 467
322 6706 531
2999 5374 797
174 6368 852
8025 1742 40
4116 8902 224
2635 3273 532
5705 1656 868
9413 7483 555
3358 7794 525
263 6060 535
5617 6723 760
7486 3442 701
3011 6430 527
2005 5824 653
927 4136 281
6256 6548 63
218 1231 429
6890 5769 595
4344 1790 230
4972 6561 963
8635 3586 821
6421 7571 218
2695 2118 952
1128 3164 481
9208 3702 835
2396 5785 683
6771 7669 302
8982 2050 799
7690 5812 803
3775 4381 722
6162 4154 437
3045 7890 3
4607 5865 251
4945 5248 492
7944 7020 639
1399 5938 157
4967 6309 59
1397 9250 928
5319 2300 544
5654 9542 16
188 3436 975
1179 4800 257
9964 1663 593
2338 3827 191
7404 5676 804
2501 3416 926
6594 8757 172
9986 9967 801
1481 8986 807
4866 3233 507
3491 8696 81
7185 1916 569
1940 4333 430
3836 2282 485
8078 9129 60
7935 7652 928
2366 8050 253
8162 2697 553
9823 108 165
5254 7667 713
9217 8152 682
4863 7631 384
6976 6861 984
1235 2957 653
5904 467 22
9988 751 699
5414 1539 523
7932 7940 776
2367 555 219
6809 2079 347
1547 5999 350
7774 8610 568
3452 4655 446
5602 6920 258
9077 863 847
4737 4798 364
8089 6614 342
8253 4451 894
8297 5649 999
3334 8064 811
1932 5421 197
5195 4902 131
9608 1434 804
656 6535 741
9081 6652 559
9405 814 409
4921 1777 7
760 3111 842
7783 9972 785
985 8205 932
8907 6161 632
2409 9769 898
1359 3481 41
7501 2849 104
2970 605 432
1648 219 378
2272 5068 576
4227 4948 190
6910 561 327
334 7056 580
9474 894 510
9298 8554 41
1947 6898 590
6629 7314 69
231 6342 609
9698 2544 487
6757 8991 105
1358 7736 218
2486 254 438
78 152 701
1993 1444 224
1988 2113 484
291 4512 737
9322 3969 462
3070 821 375
2372 1381 301
9133 8160 472
4162 862 735
523 186 63
241 1305 399
5096 5119 747
9832 2719 981
7968 9977 62
5181 6022 972
9420 7188 482
2727 2374 990
1912 5951 977
2687 6847 489
6319 7417 968
4456 9286 342
4790 4585 63
9828 5440 891
9925 253 852
2475 9849 853
5056 9579 439
4032 6171 397
6163 9859 790
3839 7393 291
27 5267 270
4391 6922 162
9611 692 296
2304 9370 151
4486 8975 702
8191 5682 548
1393 8847 567
7942 6254 206
3834 5070 622
943 6479 477
3384 4173 601
153 6307 471
8856 1436 550
5818 1026 239
6523 9496 534
4252 8550 329
7808 8293 604
3307 3099 218
3150 1510 186
4748 5944 592
9247 5880 413
8474 2441 253
730 8081 384
1738 6089 648
7592 1339 160
5173 9784 32
5651 4596 532
9947 337 97
550 3352 892
9264 7967 601
9292 3499 268
4584 6978 100
7321 9717 839
9973 2144 261
620 5551 206
2961 6196 86
450 835 36
9132 6056 892
7508 7976 970
1051 9798 656
6510 1964 724
1473 4213 327
9248 3820 657
1471 8298 403
2992 7345 871
2616 6077 989
3852 3632 177
632 4192 964
5767 971 925
9057 455 858
770 4225 806
8410 7920 58
1655 2372 326
94 3259 694
4895 9663 606
7229 1727 483
5307 6089 264
6390 2033 384
7885 6220 173
7231 3906 827
2345 206 480
3196 590 161
3613 1274 957
6112 2289 797
7327 1589 949
6309 356 644
1231 7411 996
5566 5284 843
3831 7823 119
5997 2339 340
3631 929 185
7395 9066 911
2370 7192 892
2447 4364 429
6746 4042 160
416 4441 585
4858 5480 824
2749 4270 503
1789 5211 468
7904 1870 158
8412 931 647
3459 9174 489
4689 1952 264
3303 5968 443
4284 3910 948
3901 1598 400
4741 6809 918
2657 941 853
4809 2365 656
262 7243 827
8319 5585 524
2296 7258 2
8627 4692 191
5899 7131 42
6700 3576 284
9360 2960 142
2951 8546 789
3775 2877 202
9841 1298 849
1432 9970 749
8117 4487 180
3375 2245 628
3148 9550 316
3314 164 68
8512 6686 862
907 8494 831
5695 5492 289
8077 1479 16
6709 7808 137
4362 4068 191
9226 6014 38
2678 6081 589
9746 76 365
8516 7303 992
8448 1168 124
5844 4009 837
5258 6248 591
1002 4776 894
1764 8106 458
8410 420 544
8803 2201 22
3990 1451 230
2988 2750 106
5110 4103 569
492 318 99
3196 4283 19
9820 9445 476
8567 3905 720
7277 1685 360
1538 2932 47
4473 2016 477
8087 9599 513
4581 1802 125
1991 6646 906
2243 8873 607
3726 3719 151
9385 7570 765
6498 2692 971
303 6369 711
6889 9781 860
9876 8611 38
6482 851 796
5951 5546 411
3938 5489 733
